subjectID,0,1,2,3,4,5,6
B005,1,1,1,1,1,1,1
B008,1,1,1,1,1,1,0
B014,1,1,1,1,1,1,1
B029,1,1,1,1,1,1,1
B034,1,0,1,1,1,1,1
B043,1,1,1,1,1,1,1
B044,1,1,1,1,1,1,1
B046,1,0,1,1,1,1,1
B050,1,1,1,1,1,1,0
B061,1,1,1,1,1,1,1
B063,1,1,1,1,1,1,1
B066,0,1,1,1,1,1,1
B069,1,1,1,1,1,1,1
B081,1,1,0,1,1,1,1
B087,1,1,0,1,1,1,1
B088,1,1,1,1,0,1,1
B103,1,1,1,1,1,1,1
B109,1,1,1,1,1,1,1
B117,0,1,1,1,1,1,1
B121,1,1,0,1,1,1,1
B122,1,1,1,1,1,1,1
B123,1,1,1,1,1,1,1
B125,1,1,1,1,1,1,1
B130,1,1,0,1,0,1,1
B134,1,1,0,1,1,1,0
B146,1,1,1,1,1,0,1
B148,1,1,1,1,1,1,1
B151,1,1,1,1,1,1,1
B165,1,1,1,1,1,1,1
B168,1,1,1,1,1,1,1
B174,0,1,1,1,1,1,1
B176,1,1,1,1,1,1,0
B177,1,1,1,1,1,1,1
B178,1,1,1,1,1,1,0
B179,1,1,1,0,1,0,1
B180,1,1,1,0,1,1,1
B182,1,0,1,1,1,1,1
B185,1,1,1,1,1,1,1
B188,1,0,0,1,1,1,1
B190,0,1,1,1,1,1,1
B193,1,1,1,1,1,1,1
B195,1,0,1,1,1,1,1
B198,1,1,1,1,1,1,1
B199,1,1,0,1,1,0,1
B208,1,1,1,1,1,0,0
B209,1,1,1,1,1,1,0
B211,1,1,1,1,1,1,1
B221,1,1,1,1,1,1,1
B224,1,1,1,1,1,1,1
B226,1,1,0,1,1,1,1
B228,1,1,1,1,1,1,1
B230,1,0,1,1,1,1,0
B235,0,1,0,1,1,1,1
B236,1,1,1,1,1,1,1
B243,1,0,1,1,0,1,1
B266,1,1,1,1,1,0,1
B272,1,1,1,1,1,1,1
B287,1,1,1,1,1,1,1
B288,1,0,0,1,1,1,1
B291,1,1,1,1,1,1,1
B294,1,1,1,1,0,0,1
B295,1,1,1,1,1,1,1
B299,1,1,0,1,1,1,1
B301,1,1,1,1,1,1,1
B304,1,1,1,1,1,1,0
B315,1,0,1,1,1,1,1
B321,1,1,1,0,1,1,1
B325,1,1,1,1,1,1,1
B327,1,1,1,1,1,1,1
B334,1,1,1,1,1,1,1
B336,1,1,1,1,1,1,1
B341,1,1,1,1,1,0,1
B346,1,1,0,1,1,0,1
B349,1,1,0,1,1,1,1
B352,1,0,1,1,1,1,0
B358,1,1,1,1,1,1,1
B362,1,0,1,1,1,0,1
B363,1,1,1,1,1,1,1
B364,1,1,1,1,1,1,1
B372,0,1,1,1,1,0,1
B375,1,1,1,1,1,1,1
B379,1,1,1,1,1,1,1
B385,1,0,1,1,1,1,1
B386,0,1,1,1,1,1,1
B388,1,1,1,0,1,1,0
B391,1,0,1,1,1,1,0
B399,0,1,1,1,1,1,0
B400,1,1,1,1,1,1,1
B402,1,1,1,1,1,1,0
B405,1,1,1,0,1,1,1
B421,1,0,1,1,1,1,1
B426,1,1,1,1,1,1,1
B436,1,1,1,1,1,1,0
B438,1,1,1,1,1,1,1
B440,1,1,1,1,1,1,1
B441,1,1,1,1,1,1,0
B443,1,1,1,0,1,1,0
B453,1,1,1,1,1,0,1
B454,1,1,1,1,1,0,1
B456,1,1,1,1,1,1,0
B461,1,1,1,1,1,1,1
B470,0,1,1,1,1,0,1
B475,0,1,1,1,1,1,1
B493,0,1,1,1,1,1,1
B503,1,1,1,0,1,1,1
B511,1,1,1,1,1,1,1
B512,0,0,1,1,1,1,1
B522,1,1,1,1,1,1,1
B543,1,1,1,1,1,1,0
B547,1,1,1,1,1,0,1
B559,1,1,1,1,0,1,1
B562,1,1,1,1,1,1,1
B576,1,1,1,1,1,1,1
B582,1,1,1,0,1,1,1
B583,1,1,1,1,0,1,0
B590,1,0,1,1,0,1,1
B608,0,1,1,1,1,1,1
B620,1,0,1,1,1,1,1
B621,1,0,1,1,1,0,1
B634,1,1,1,1,1,1,1
B635,1,1,1,1,1,0,0
B640,1,1,1,1,1,1,1
B644,1,0,1,1,1,1,1
B645,1,1,1,1,0,1,1
B651,1,1,1,1,1,1,1
B666,1,1,1,1,1,1,0
B680,0,1,1,1,1,1,0
B686,1,0,1,1,1,1,1
B688,1,1,1,1,1,1,1
B689,1,0,1,1,1,1,1
B692,0,1,1,1,1,1,0
B702,1,0,1,1,1,1,1
B728,0,0,1,1,1,1,1
B754,1,0,1,1,1,1,1
B778,0,1,1,1,1,0,1
B782,1,1,1,1,1,1,1
B791,1,0,1,1,1,1,1
B809,1,1,1,1,1,1,1
B819,1,1,1,1,1,1,1
B836,1,1,1,1,1,1,1
B853,1,1,1,1,1,1,1
B877,1,0,1,1,0,1,1
B900,1,1,1,1,1,1,1
B906,1,1,1,0,1,1,1
B911,0,1,1,1,1,1,1
B917,1,1,1,1,1,1,1
B928,1,1,1,1,1,1,1
B937,1,1,1,1,1,1,0
B941,1,1,1,1,1,1,1
B945,0,1,1,1,1,1,1
B956,1,1,1,1,1,1,0
B957,1,1,1,1,1,1,1
B964,0,0,1,1,1,1,1
B972,1,1,1,1,1,1,1
B977,0,1,1,1,0,1,1
B988,1,0,1,1,1,1,1
B991,1,1,1,1,1,1,1
