subjectID,0,1,2,3,4,5,6
B005,1,0,1,0,1,0,0
B008,1,1,0,0,1,1,0
B014,0,0,0,1,1,1,0
B029,1,1,1,1,0,1,0
B034,1,0,1,1,1,0,1
B043,1,0,0,1,0,1,0
B044,1,1,1,1,1,0,0
B046,0,0,1,1,1,1,0
B050,1,1,0,1,1,1,0
B061,1,1,1,1,1,0,1
B063,0,1,1,1,1,0,1
B066,0,0,0,1,1,0,0
B069,1,1,0,1,0,1,1
B081,0,1,0,0,1,0,1
B087,1,0,0,0,1,1,1
B088,1,1,0,1,0,1,1
B103,0,1,0,1,1,1,1
B109,1,1,0,1,1,0,1
B117,0,1,1,1,1,1,0
B121,1,1,0,0,1,0,1
B122,1,1,0,1,1,1,0
B123,1,1,1,1,0,0,1
B125,0,1,1,0,1,0,1
B130,1,0,0,1,0,1,1
B134,1,1,0,1,1,0,0
B146,1,0,1,1,1,0,1
B148,1,1,0,1,1,1,1
B151,1,1,0,1,1,1,1
B165,0,1,1,0,0,1,0
B168,1,1,1,1,1,0,0
B174,0,1,1,0,0,0,1
B176,1,1,1,0,1,1,0
B177,1,0,0,1,0,1,0
B178,1,0,1,0,1,0,0
B179,1,1,1,0,0,0,1
B180,0,0,0,0,1,1,1
B182,1,0,1,1,1,1,0
B185,1,1,1,1,0,0,1
B188,0,0,0,1,1,1,1
B190,0,0,0,1,0,1,0
B193,0,0,0,1,1,1,1
B195,1,0,1,0,1,0,0
B198,0,1,1,1,1,1,1
B199,1,0,0,1,1,0,1
B208,0,1,0,1,1,0,0
B209,0,1,0,1,1,1,0
B211,1,0,1,1,1,1,0
B221,1,1,0,0,0,1,1
B224,0,1,0,1,1,1,1
B226,0,0,0,1,1,1,1
B228,1,0,1,1,1,1,1
B230,1,0,1,1,1,0,0
B235,0,1,0,1,1,0,0
B236,1,1,0,1,1,1,1
B243,1,0,1,0,0,1,1
B266,1,1,1,0,1,0,0
B272,1,0,1,0,1,1,1
B287,1,1,0,1,0,1,0
B288,0,0,0,1,1,1,1
B291,0,1,1,1,1,1,1
B294,1,1,0,1,0,0,1
B295,0,0,1,1,1,1,1
B299,1,1,0,1,1,1,0
B301,0,1,1,1,0,1,0
B304,1,1,1,0,1,1,0
B315,0,0,0,1,1,0,1
B321,1,0,1,0,1,1,1
B325,0,1,1,0,1,1,1
B327,0,0,1,1,1,0,1
B334,1,0,0,1,0,1,1
B336,0,1,1,0,1,1,0
B341,1,1,1,0,1,0,1
B346,0,1,0,1,0,0,0
B349,1,1,0,1,0,1,1
B352,0,0,1,1,1,0,0
B358,1,1,1,0,1,1,0
B362,1,0,0,0,1,0,1
B363,1,1,0,0,1,0,1
B364,0,1,1,1,0,1,1
B372,0,1,1,0,1,0,1
B375,1,0,1,1,0,0,1
B379,1,1,0,1,1,0,1
B385,1,0,0,0,1,1,1
B386,0,1,1,0,1,1,1
B388,0,1,0,0,1,1,0
B391,1,0,1,0,1,1,0
B399,0,0,1,1,0,1,0
B400,1,1,0,1,0,1,1
B402,1,1,1,0,0,1,0
B405,0,1,0,0,1,1,1
B421,1,0,1,0,0,1,0
B426,1,0,1,1,1,0,0
B436,1,0,1,0,1,1,0
B438,0,1,1,1,1,0,0
B440,0,1,1,1,0,0,0
B441,1,0,1,1,1,1,0
B443,1,1,1,0,0,1,0
B453,1,1,0,0,1,0,1
B454,1,0,1,0,1,0,1
B456,0,0,1,1,1,1,0
B461,1,0,1,1,1,1,1
B470,0,1,1,1,1,0,0
B475,0,1,0,1,1,0,1
B493,0,1,1,0,0,1,0
B503,0,0,1,0,1,1,1
B511,0,1,1,1,0,1,1
B512,0,0,1,0,0,0,1
B522,1,1,1,1,0,1,0
B543,1,1,0,0,1,1,0
B547,1,1,1,1,0,0,1
B559,1,1,1,1,0,1,0
B562,0,1,1,1,1,1,0
B576,1,1,1,1,1,1,0
B582,1,1,0,0,1,0,1
B583,0,0,1,1,0,1,0
B590,0,0,1,1,0,0,1
B608,0,0,1,1,0,1,1
B620,1,0,1,1,0,1,1
B621,1,0,1,1,0,0,0
B634,1,1,1,0,1,1,0
B635,0,0,1,1,1,0,0
B640,1,0,1,1,1,1,1
B644,1,0,0,1,1,1,0
B645,1,1,1,1,0,0,1
B651,1,1,0,1,1,1,1
B666,0,1,1,1,0,1,0
B680,0,1,1,0,1,1,0
B686,1,0,1,1,1,1,0
B688,1,1,0,0,1,0,0
B689,0,0,1,1,1,0,1
B692,0,1,1,1,0,1,0
B702,1,0,1,1,1,0,1
B728,0,0,1,1,0,0,1
B754,0,0,1,1,1,1,1
B778,0,0,1,0,1,0,1
B782,1,0,1,1,1,1,1
B791,1,0,1,1,0,1,0
B809,0,1,0,1,1,1,1
B819,0,1,1,1,0,1,1
B836,1,0,1,1,1,1,1
B853,0,1,1,1,1,0,0
B877,1,0,1,1,0,1,0
B900,1,0,0,1,1,1,1
B906,1,1,1,0,1,1,0
B911,0,1,0,1,1,1,1
B917,0,1,0,0,1,1,0
B928,0,1,1,1,1,1,1
B937,1,1,0,1,0,1,0
B941,1,1,0,1,0,1,1
B945,0,1,1,0,1,1,0
B956,1,1,1,0,1,1,0
B957,0,1,0,1,0,0,1
B964,0,0,1,0,1,0,1
B972,1,1,0,1,0,0,1
B977,0,0,0,0,0,1,1
B988,1,0,1,1,0,1,0
B991,1,1,0,0,1,1,1
