subjectID,0,1,2,3,4
E002338,1,1,0,0,0
E002473,0,0,0,1,1
E004071,0,1,0,0,0
E004781,1,0,0,1,0
E004934,0,0,0,1,0
E005804,0,1,0,0,0
E006871,0,1,1,0,0
E007303,1,0,0,1,1
E007743,1,0,0,0,0
E007980,0,0,0,1,1
E008241,1,0,0,0,0
E008437,0,0,0,1,0
E008643,0,0,1,0,0
E009667,1,0,0,0,0
E009676,0,1,1,0,1
E011183,0,1,0,0,0
E012115,1,1,0,1,0
E012124,1,0,1,1,1
E012393,0,0,0,1,0
E012678,0,0,1,0,1
E013394,1,1,1,0,1
E015208,1,0,1,0,0
E015378,1,0,0,0,0
E015991,0,1,1,1,0
E016148,1,0,0,0,0
E016870,1,0,0,0,0
E017049,0,0,1,0,0
E018421,1,1,0,0,1
E018574,0,1,0,0,1
E019187,1,0,1,0,0
E019349,1,1,0,0,0
E019793,0,0,1,1,0
E020781,0,0,1,0,0
E020808,0,0,1,0,0
E022083,0,1,0,1,1
E022960,1,0,1,1,0
E023535,0,0,0,1,0
E023681,1,0,1,0,0
E024646,0,1,0,0,0
E025671,1,0,1,1,1
E025912,0,0,1,0,0
E025921,0,0,1,1,0
E029310,0,0,0,1,1
E029796,0,0,0,1,0
E030828,0,0,0,0,1
E030933,1,1,0,0,0
E031941,0,1,0,1,0
E033036,0,0,0,1,0
E033156,0,0,0,0,1
P000648,1,0,0,1,0
P004113,1,0,0,1,0
P005558,1,1,0,1,0
P008579,0,1,0,1,0
P009291,0,0,1,0,0
P009746,0,0,0,1,0
P014839,0,0,0,1,0
P015091,0,1,0,0,0
P015163,1,0,0,0,0
P016803,0,0,0,0,1
P019475,1,0,0,0,0
T000094,0,1,0,0,0
T000272,0,0,0,1,0
T000461,0,1,0,0,0
T002534,0,1,0,0,0
T003353,0,0,1,0,0
T003355,1,1,0,1,0
T003950,1,1,1,0,0
T004341,0,1,1,0,0
T005643,0,0,0,1,0
T005999,1,0,0,0,1
T006266,0,1,0,0,1
T006288,1,0,0,1,0
T007748,1,0,0,0,0
T007750,0,0,1,0,0
T008025,0,1,0,0,0
T008246,0,0,0,0,1
T008631,0,0,1,0,0
T009275,1,1,1,0,0
T009280,0,0,0,1,1
T009909,1,0,0,0,0
T010520,1,1,1,0,0
T010532,1,0,0,0,0
T011676,1,0,0,0,0
T012121,1,0,0,1,1
T012138,0,0,0,0,1
T012312,0,0,1,1,0
T012374,0,0,1,1,1
T012389,1,0,0,0,0
T012983,1,0,1,0,1
T013431,0,0,0,1,1
T013832,1,0,0,0,0
T014575,1,1,0,0,0
T014806,0,0,0,0,1
T014827,0,1,0,1,1
T016234,1,0,0,0,1
T016811,0,0,0,1,0
T016812,1,1,0,0,1
T016834,0,0,1,0,0
T017394,0,0,1,0,0
T017419,0,1,1,0,0
T018343,0,1,0,0,0
T019021,0,0,0,0,1
T019031,0,0,1,1,1
T019850,1,0,0,0,0
T019852,0,0,0,1,0
T019853,1,0,0,0,1
T020231,0,0,0,1,1
T021076,0,0,0,1,0
T021613,1,0,0,0,0
T022883,1,1,1,1,0
T023390,0,0,1,0,1
T023909,0,1,0,0,0
T024121,0,0,0,0,1
T025415,0,1,0,0,0
T028183,0,0,0,1,0
T029687,0,1,0,0,0
